# step cn bias_eV energy_eV temperature_K
220000 0.012636 9.4832940586e-01 -273324.968750 299.19
220500 0.007170 9.3774481327e-01 -273324.062500 298.94
221000 0.007623 9.4032933035e-01 -273324.687500 298.02
221500 0.011254 9.4995092764e-01 -273324.406250 315.92
222000 0.008521 9.4540455311e-01 -273323.125000 288.73
222500 0.011182 9.5281766842e-01 -273325.312500 287.86
223000 0.011287 9.5453548920e-01 -273325.000000 309.34
223500 0.009291 9.5162379780e-01 -273324.875000 306.89
224000 0.007829 9.4983009492e-01 -273323.875000 292.35
224500 0.008659 9.5320619370e-01 -273324.031250 280.95
225000 0.005841 9.4826106410e-01 -273324.437500 317.73
225500 0.005719 9.4948563801e-01 -273324.312500 314.30
226000 0.007130 9.5424383783e-01 -273325.406250 285.90
226500 0.006020 9.5317200076e-01 -273323.406250 313.44
227000 0.006669 9.5615913900e-01 -273324.718750 291.88
227500 0.007410 9.5933183832e-01 -273323.937500 300.16
228000 0.006874 9.5957020213e-01 -273324.625000 327.67
228500 0.007115 9.6158440514e-01 -273325.093750 291.23
229000 0.006870 9.6247829324e-01 -273324.906250 301.90
229500 0.009346 9.6952306274e-01 -273323.937500 303.12
230000 0.012416 9.7764873132e-01 -273324.375000 297.79
230500 0.005243 9.6297349423e-01 -273322.250000 292.31
231000 0.005360 9.6469592234e-01 -273323.312500 273.75
231500 0.004270 9.6357595086e-01 -273324.906250 270.65
232000 0.003447 9.6306687568e-01 -273323.656250 292.00
232500 0.004443 9.6688007874e-01 -273323.968750 290.39
233000 0.004110 9.6752674016e-01 -273323.968750 291.79
233500 0.008583 9.7927852860e-01 -273323.000000 301.32
234000 0.004884 9.7216743164e-01 -273323.656250 271.66
234500 0.005545 9.7512658594e-01 -273324.656250 296.57
235000 0.005283 9.7591567401e-01 -273323.781250 298.09
235500 0.004937 9.7650243683e-01 -273322.218750 295.99
236000 0.004207 9.7617937803e-01 -273323.750000 283.08
236500 0.005876 9.8148606968e-01 -273323.437500 281.26
237000 0.004558 9.7978173875e-01 -273323.562500 291.71
237500 0.004575 9.8120368416e-01 -273322.906250 285.89
238000 0.004223 9.8175015530e-01 -273324.312500 290.15
238500 0.004158 9.8297343531e-01 -273323.250000 291.19
239000 0.003766 9.8341332149e-01 -273323.562500 293.91
239500 0.003490 9.8412380354e-01 -273325.156250 306.13
