# step cn bias_eV energy_eV temperature_K
164000 0.374204 4.9545806771e-01 -275288.500000 315.05
164500 0.407271 4.7570912559e-01 -275289.687500 282.06
165000 0.225536 5.6505035428e-01 -275288.812500 329.32
165500 0.330648 5.3817135342e-01 -275288.687500 289.54
166000 0.239227 5.7348849410e-01 -275289.406250 291.59
166500 0.241112 5.7767859259e-01 -275288.125000 299.17
167000 0.432402 4.7085214850e-01 -275287.750000 316.66
167500 0.378032 5.2126206646e-01 -275289.312500 282.94
168000 0.330455 5.5917203987e-01 -275288.218750 300.18
168500 0.328121 5.6495904605e-01 -275287.437500 305.43
169000 0.436706 4.8422525162e-01 -275289.281250 274.29
169500 0.557591 4.0527520151e-01 -275286.875000 292.68
170000 0.541436 4.1869495062e-01 -275288.062500 299.94
170500 0.500347 4.4958054681e-01 -275288.406250 309.91
171000 0.495415 4.5905399778e-01 -275288.125000 288.47
171500 0.428455 5.1712814721e-01 -275288.781250 288.14
172000 0.482472 4.7907072703e-01 -275287.250000 290.40
172500 0.474747 4.9055976828e-01 -275288.187500 310.81
173000 0.556764 4.4268500529e-01 -275287.875000 302.28
173500 0.631849 4.3714324159e-01 -275287.468750 299.30
174000 0.508699 4.8085507169e-01 -275288.312500 296.45
174500 0.502426 4.9053683345e-01 -275288.593750 265.91
175000 0.482467 5.0980320372e-01 -275288.000000 319.89
175500 0.582321 4.5917315119e-01 -275288.218750 310.58
176000 0.531824 4.8762891852e-01 -275288.156250 316.18
176500 0.562314 4.7753336063e-01 -275287.343750 307.09
177000 0.566020 4.8151130442e-01 -275287.718750 282.83
177500 0.635744 4.7403368580e-01 -275286.781250 309.53
178000 0.588480 4.8452112728e-01 -275288.781250 322.11
178500 0.467945 5.5048451459e-01 -275286.906250 295.95
179000 0.653359 4.8917674676e-01 -275287.812500 301.20
179500 0.441071 5.7283628621e-01 -275287.031250 305.42
180000 0.322048 6.2207427217e-01 -275288.812500 295.51
180500 0.417114 5.9276687711e-01 -275288.500000 285.42
181000 0.214897 6.1255135705e-01 -275287.062500 287.73
181500 0.243419 6.2749334723e-01 -275287.937500 309.08
182000 0.356962 6.2664416689e-01 -275287.656250 305.02
182500 0.245456 6.3451870895e-01 -275287.531250 286.06
183000 0.264194 6.4239054552e-01 -275287.125000 291.90
183500 0.264723 6.4599099827e-01 -275288.562500 277.89
184000 0.323800 6.4811963260e-01 -275289.468750 291.36
184500 0.239880 6.4622882505e-01 -275290.687500 289.95
185000 0.365755 6.4123283572e-01 -275288.812500 303.14
185500 0.316717 6.5921015255e-01 -275288.375000 304.92
186000 0.244456 6.5675405473e-01 -275289.625000 299.58
186500 0.257080 6.6378616633e-01 -275289.343750 303.97
187000 0.312568 6.6930766439e-01 -275289.843750 304.64
187500 0.370570 6.5370467070e-01 -275289.968750 312.30
188000 0.305999 6.7651564661e-01 -275288.875000 317.47
188500 0.342735 6.7163365194e-01 -275289.437500 310.76
189000 0.196722 6.4640656545e-01 -275290.218750 291.00
189500 0.327847 6.8155927763e-01 -275287.656250 283.61
190000 0.306845 6.8855348243e-01 -275288.562500 311.28
190500 0.304674 6.9186412616e-01 -275286.843750 291.63
191000 0.373224 6.7218706607e-01 -275288.593750 303.91
191500 0.378500 6.7245476422e-01 -275289.593750 292.30
192000 0.312342 6.9991339860e-01 -275288.031250 294.64
192500 0.383003 6.7571595184e-01 -275289.531250 283.59
193000 0.382210 6.7940218756e-01 -275290.031250 300.12
193500 0.320394 7.0744049427e-01 -275289.375000 315.86
194000 0.435564 6.4535749301e-01 -275289.968750 285.09
194500 0.351438 7.0411726117e-01 -275289.656250 300.96
195000 0.344021 7.0985121646e-01 -275288.593750 289.19
195500 0.345403 7.1228186795e-01 -275288.031250 291.57
196000 0.412580 6.7554949697e-01 -275287.718750 300.78
196500 0.526722 5.7281143509e-01 -275287.718750 282.34
197000 0.509929 5.9261610895e-01 -275289.125000 298.44
197500 0.459814 6.4459518798e-01 -275288.531250 279.24
198000 0.338880 7.2675094937e-01 -275288.687500 295.34
198500 0.367439 7.1917171386e-01 -275288.687500 325.41
199000 0.362403 7.2429340032e-01 -275288.593750 309.33
199500 0.365495 7.2571766834e-01 -275289.156250 288.51
200000 0.230981 7.1236622921e-01 -275288.750000 306.21
200500 0.214497 7.0216446163e-01 -275287.562500 305.31
201000 0.239646 7.2409842135e-01 -275288.250000 315.47
201500 0.281834 7.4548992521e-01 -275287.656250 283.93
202000 0.296450 7.5068003849e-01 -275289.625000 278.09
202500 0.269799 7.4708531634e-01 -275285.843750 285.65
203000 0.188888 6.8904951854e-01 -275285.781250 293.10
203500 0.241751 7.3869947674e-01 -275286.875000 301.21
204000 0.282336 7.5860787020e-01 -275287.781250 301.82
204500 0.221933 7.2941145760e-01 -275286.375000 305.29
205000 0.187771 6.9817348337e-01 -275287.687500 307.34
205500 0.195207 7.0955012914e-01 -275288.000000 281.40
206000 0.176263 6.9008302172e-01 -275288.906250 306.00
206500 0.187674 7.0705769919e-01 -275288.968750 298.64
207000 0.154884 6.6663695847e-01 -275288.781250 307.86
207500 0.141555 6.4940056615e-01 -275288.343750 306.50
208000 0.208828 7.3848671479e-01 -275287.218750 290.86
208500 0.155107 6.7621224567e-01 -275289.562500 303.72
